name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Victorian_Mirrored_Bookshelf_-_121_doll_house_scale/sides-lg_buildplate.stl,-4281.49357766803,,False,False,False,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Victorian_Mirrored_Bookshelf_-_121_doll_house_scale/side-lt-sm_buildplate.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Victorian_Mirrored_Bookshelf_-_121_doll_house_scale/side-rt-sm_buildplate.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Skyrim_Inspired_Bookshelf/Skyrim_Bookshelf_mm.stl,,0.08089410960736038,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Diagon_Alley_Bookshelf_Diorama/Lamp_1b.stl,,0.17081359599611903,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Diagon_Alley_Bookshelf_Diorama/Lamp_1a.stl,,0.17045118579739943,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Moidules_-_Create_your_own_custom_made_shelving_system_at_home/T-moidule.stl,,0.1671370415551293,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_for_dnd/FullBookShelf.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_Miniature_-_Bookshelf/RPG_Bookshelf.stl,,0.026019275415157018,True,True,False,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Minecraft_bookshelf_block/Minecraft__Bookshelf_Block_Images_of_print_included.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_speaker_stand_(Edifier_R1280T)/Speaker_Stand_Korte_smaller.stl,,,True,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/3D_Printed_Bookshelf/newRightBracket.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/bookshelf_with_a_separate_book/shelf_v3_-_shelf_v3.stl,0.00011363069206636364,0.0038352121861193163,True,False,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/bookshelf_with_a_separate_book/1_in_book_v2.stl,2.4270318787145058e-06,0.002544737056826,True,False,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Simple_Mini_D&D_Tall_Bookshelf/Bookshelf_Tall.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_(modular)/Bookshelf_modular.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_(modular)/Bookshelf_modular_shelf_A.stl,,0.023391726273413616,False,True,True,False
